LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
18.2,-66.3,30.72919447088176,90,970,,,28.91379165649414,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,1.0,30.72919447088176,1.0,30.72919447088176,1.0,1998-09-22 00:00:00,1,puerto_rico
18.1,-66.9,35.39094222339947, , ,,,29.02466583251953,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 03:00:00,1,puerto_rico
18.0,-67.4,89.046752158317,95,972,29.080644607543945,0.0313091278076171,29.096113204956055,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 06:00:00,1,puerto_rico
18.1,-67.8,128.53677423641307, , ,29.11451530456543,0.1103496551513671,28.969486236572266,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 09:00:00,1,puerto_rico
18.2,-68.5,201.74699625919283,105,964,29.11806297302246,0.1136741638183593,29.00446128845215,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 12:00:00,0,puerto_rico
18.2,-68.7,222.8705751607023,105,962,29.11806297302246,0.1136741638183593,29.00446128845215,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 12:30:00,0,puerto_rico
18.3,-69.3,286.2858167193063, , ,29.173547744750977,0.1561927795410156,29.00446128845215,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 15:00:00,0,puerto_rico
18.6,-69.7,330.7998068637911,95,970,,,29.042356491088867,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 18:00:00,0,puerto_rico
18.7,-70.2,384.45020587283955, , ,,,29.042356491088867,,,,,,25.46,0.394,1998,9,22,265,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-22 21:00:00,0,puerto_rico
18.8,-70.8,448.53712882643623,70,980,,,29.189632415771484,,,,,,25.46,0.394,1998,9,23,266,1,30.72919447088176,2.0,30.72919447088176,2.0,30.72919447088176,2.0,1998-09-23 00:00:00,0,puerto_rico
